id,label_malay,label_english,type
C001,kegelisahan,,Condition
TRT001,pernafasan dalam: tarik nafas dalam-dalam,,Treatment
TRT002,tahan sebentar,,Treatment
TRT003,lepaskan secara perlahan. ulangi langkah ini beberapa kali berbual dengan seseorang: berkongsi perasaan dengan orang yang anda percaya boleh meredakan kegelisahan yang dialami. anda boleh meluahkannya kepada ahli keluarga atau rakan baik anda mengatur semula fikiran anda: kenal pasti fikiran-fikiran negatif,,Treatment
STR001,cuba tukarkannya kepada perspektif yang lebih positif lakukan senaman: aktiviti seperti berjoging atau berenang boleh mengurangkan hormon tekanan emosi,,Strategy
STR002,meningkatkan rasa gembira teknik relaksasi: kaedah seperti meditasi atau yoga boleh membantu menenangkan jiwa anda. bagi mereka yang beragama islam,,Strategy
TRT004,anda boleh cuba berzikir,,Treatment
TRT005,membaca al-quran atau bersolat sunat 2 rakaat sebagai kaedah menenangkan diri kurangkan pengambilan kafein,,Treatment
STR003,alkohol : kedua-dua bahan ini merupakan pantang larang kegelisahan,,Strategy
TRT006,boleh mempengaruhi kadar degupan jantung,,Treatment
TRT007,menambah kegelisahan anda atur rutin harian anda: memiliki rutin harian akan memberikan anda rasa teratur,,Treatment
TRT008,mengurangkan kegelisahan rujuk pakar: jika serangan kegelisahan menjadi terlalu kerap,,Treatment
TRT009,ada sesetengah individu yang mungkin akan mengalami sesak nafas apabila terlalu gelisah . apakah cara mengatasi kegelisahan sesak nafas ini? pada ketika ini,,Treatment
TRT010,amat penting untuk anda cuba menenangkan diri,,Treatment
STR004,fokus kepada pernafasan anda. tip untuk mengatasi kegelisahan. teknik pernafasan diafragma sangat membantu. caranya adalah dengan menarik nafas secara dalam melalui hidung,,Strategy
TRT011,pastikan perut anda mengembang. kemudian,,Treatment
TRT012,hembus nafas anda melalui mulut . cara hilangkan serangan kegelisahan ini dapat memastikan tubuh anda mendapat oksigen yang cukup,,Treatment
TRT013,meredakan rasa sesak nafas yang berlaku. jika anda melihat mana-mana individu mengalami sesak nafas disebabkan serangan kegelisahan,,Treatment
STR005,ajarkan mereka teknik ini untuk membantu meredakan serangan kegelisahan yang dialami. kesimpulan walaupun serangan kegelisahan boleh mengganggu aktiviti seharian kita,,Strategy
TRT014,dengan pengetahuan,,Treatment
TRT015,cara hilangkan serangan kegelisahan yang tepat,,Treatment
TRT016,kita sebenarnya boleh menghadapinya. dapatkan bantuan apabila perlu,,Treatment
TRT017,jangan segan untuk berkongsi perasaan anda. perlu diingat bahawa kegelisahan adalah sebahagian daripada kehidupan. namun,,Treatment
TRT018,dengan sokongan,,Treatment
STR006,teknik yang betul,,Strategy
TRT019,kita boleh melaluinya dengan penuh keyakinan,,Treatment
TRT020,gangguan tidur kesukaran untuk menumpukan perhatian boleh meningkatkan risiko penyakit jantung ubat kegelisahan disorder adakah penyakit kegelisahan boleh sembuh? perlu diketahui bahawa tiada penawar untuk gangguan kegelisahan ini. namun,,Treatment
TRT021,ia masih boleh dirawat menerusi penggunaan beberapa jenis ubat kegelisahan hospital. antara ubat biasa yang digunakan untuk gangguan kegelisahan ialah benzodiazepines,,Treatment
TRT022,buspirone,,Treatment
TRT023,antidepresan,,Treatment
TRT024,penyekat beta,,Treatment
TRT025,minyak aromaterapi. lihat penerangan lanjut di bawah ini: #,,Treatment
TRT026,benzodiazepines benzodiazepines adalah salah satu ubat yang kerap digunakan untuk merawat kegelisahan . ia berfungsi dengan meningkatkan kesan neurotransmitter tertentu dalam otak yang dikenali sebagai gaba. ini membantu untuk menenangkan otak,,Treatment
TRT027,mengurangkan perasaan kegelisahan. benzodiazepines biasanya digunakan untuk merawat kegelisahan akut,,Treatment
TRT028,juga gangguan kegelisahan biasa. walau bagaimanapun,,Treatment
TRT029,penggunaan jangka panjang boleh menyebabkan ketagihan,,Treatment
TRT030,beberapa kesan sampingan termasuklah mengantuk,,Treatment
TRT031,kehilangan koordinasi. ubat ini hanya boleh didapati dengan preskripsi doktor. #,,Treatment
TRT032,buspirone buspirone adalah ubat yang dihasilkan khusus untuk merawat kegelisahan kronik. berbeza dengan benzodiazepines,,Treatment
